Time (UTC) , i value , j value , latitude , longitude ," u (west to east wind, m/s) "," v (south to north wind, m/s) ", temperature (C) , relative humidity (%) , vertical velocity (cm/s) , pressure (mb) , water vapor  (g/kg) , turbulent kinetic energy (m^2/s^2) , precipitation rate (mm/hr), sensible heat flux (W/m^2) , Latent heat flux (W/m^2) , tracer concentration,leakage,classify_pred,regression_pred
17.1,62,31,33.244,-81.63,3.79688,0.44657,14.4505,37.49907,3.41788,991.73425,3.93878,0.82846,0,331.46527,0.44403,0.0,0,0,0.0
17.1,77,60,33.273,-81.615,3.7536,-0.17215,14.68964,36.67389,8.88981,991.74689,3.91304,0.94132,0,334.33295,1.03621,0.0,0,0,0.0
17.1,65,59,33.272,-81.627,3.58681,0.04793,14.71523,36.81922,6.55862,993.26685,3.92904,0.79569,0,324.11435,0.48885,0.0,0,0,0.0
17.1,35,34,33.247,-81.657,3.69232,1.00592,14.29899,38.17503,-3.91936,991.53906,3.97081,0.69449,0,203.1978,2.01888,0.0,0,0,0.0
17.1,4,64,33.277,-81.688,3.43485,0.38917,14.59239,37.99316,6.55614,992.92554,4.02315,0.91119,0,324.845,0.98645,0.0,0,0,0.0
17.1,53,57,33.27,-81.639,3.49645,0.4071,14.72103,36.97212,8.60582,993.41486,3.94626,0.76108,0,320.28183,0.37433,0.0,0,0,0.0
17.1,10,24,33.237,-81.682,3.59208,0.84865,14.53268,38.15163,-1.25855,994.51941,4.01755,0.7058,0,221.60716,1.40903,0.0,0,0,0.0
17.1,63,47,33.26,-81.629,3.65587,0.76435,14.51181,37.26577,0.59352,991.51685,3.93096,0.79994,0,326.93338,0.50725,0.0,0,0,0.0
17.1,37,68,33.281,-81.655,3.63291,0.19106,14.37089,38.01213,-2.49769,992.33691,3.96938,0.70508,0,196.07384,1.77619,0.0,0,0,0.0
17.1,30,28,33.241,-81.662,3.69325,0.89792,14.43054,38.04581,2.15519,992.87537,3.9863,0.69992,0,236.06674,1.25162,0.0,0,0,0.0
17.1,29,65,33.278,-81.663,3.35746,0.25215,14.5767,37.63021,2.72722,993.00439,3.98029,0.81975,0,198.49887,1.87624,0.0,0,0,0.0
17.1,51,51,33.264,-81.641,3.58278,0.63664,14.55371,37.32311,11.45086,991.97528,3.94601,0.7183,0,334.85162,0.31,0.0,0,0,0.0
17.1,6,47,33.26,-81.686,3.22159,0.67853,14.87257,37.29021,0.65558,995.01062,4.0134,0.93375,0,323.29156,1.01288,0.0,0,0,0.0
17.1,23,55,33.268,-81.669,3.23076,0.53588,14.80935,37.1499,0.00332,993.89545,3.9863,0.95989,0,207.65579,1.55662,0.0,0,0,0.0
17.1,25,12,33.225,-81.667,3.19712,0.48787,14.49701,38.36642,5.24985,992.6601,4.03839,0.80732,0,293.70175,61.81108,0.0,0,0,0.0
17.1,26,65,33.278,-81.666,3.29158,0.25534,14.62617,37.56078,2.43008,993.27509,3.98476,0.85208,0,193.45555,1.936,0.0,0,0,0.0
17.1,14,42,33.255,-81.678,3.38617,0.75048,14.63369,37.64739,0.97792,992.70154,3.99828,0.87612,0,193.98534,1.94361,0.0,0,0,0.0
17.1,72,63,33.276,-81.62,3.67619,-0.08548,14.6827,36.80565,-1.95374,993.01013,3.92023,0.83078,0,324.19958,0.9991,0.0,0,0,0.0
17.1,31,34,33.247,-81.661,3.66467,1.04491,14.31454,38.19101,-2.27762,991.5365,3.97655,0.70086,0,203.50941,2.12627,0.0,0,0,0.0
17.1,44,14,33.227,-81.648,3.4099,0.40736,14.574,37.73444,5.58482,992.2168,3.99383,0.80339,0,327.09201,0.59386,0.0,0,0,0.0
17.1,21,51,33.264,-81.671,3.30119,0.59151,14.821,37.15034,7.40063,994.07581,3.98866,0.92747,0,335.09235,1.03558,0.0,0,0,0.0
17.1,11,28,33.241,-81.681,3.5757,0.87824,14.43921,38.25729,-0.06617,993.3374,4.00885,0.70013,0,221.73808,1.38187,0.0,0,0,0.0
